Sample	ic50
M1	24377.88
M1	24510.92
M1	24547.54
M1	24719.19
M1	24844.94
M1	24866.72
M1	24906.04
M1	24919.52
M1	24948.39
M1	25011.08
M1	25097.29
M1	25105.7
M1	25163.08
M1	25179.16
M1	25183.78
M1	25220.06
M1	25254.19
M1	25288.09
M1	25387.6
M1	25395.02
M1	25400.25
M1	25407.95
M1	25430.77
M1	25433.24
M1	25446.47
M1	25493.86
M1	25624.39
M1	25626.88
M1	25667.67
M1	25722.45
M1	25779.56
M1	25788.49
M1	25809.14
M1	25891.66
M1	25899.5
M1	25931.18
M1	25982.86
M1	26054.93
M1	26071.57
M1	26172.19
M1	26224.91
M1	26360.9
M1	26404.57
M1	26404.57
M1	26471.79
M1	26518.81
M1	26630.36
M1	26630.36
M1	26753.98
M1	26870.31
M1	26964.09
M1	27101.25
M1	27216.45
M1	27231.78
M1	27239.14
M1	27493.49
M1	27499.43
M1	27567.35
M1	27642.31
M1	27758.91
M1	27881.42
M1	27939.11
M1	28012.05
M1	28035.4
M1	28069.99
M1	28175.89
M1	28370.75
M1	28374.12
M1	28442.99
M1	28537.3
M1	28545.64
M1	28583.04
M1	28594.48
M1	28691.19
M1	28790.07
M1	28875.85
M1	28934.96
M1	28937.48
M1	28951.87
M1	29110.5
M1	29177.04
M1	29215.88
M1	29240.88
M1	29251.01
M1	29331.82
M1	29457.12
M1	29471.47
M1	29664.06
M1	29703.25
M1	29763.73
M1	29771.77
M1	29772.42
M1	29823.04
M1	29823.04
M1	29913.21
M1	29938.14
M1	29985.46
M1	30024.11
M1	30028.96
M1	30077.42
M1	30085.88
M1	30085.88
M1	30085.88
M1	30093.04
M1	30113.25
M1	30191.87
M1	30223.89
M1	30242.22
M1	30278.56
M1	30317.89
M1	30387.52
M1	30433.59
M1	30467.52
M1	30594.7
M1	30613.25
M1	30625.83
M1	30685.87
M1	30690.19
M1	30719.75
M1	30840.98
M1	30849.65
M1	30856.65
M1	30866.69
M1	30897.08
M1	30907.44
M1	30943.26
M1	31003.59
M1	31032.11
M1	31057.64
M1	31085.87
M1	31092.61
M1	31097.98
M1	31174.79
M1	31184.58
M1	31184.58
M1	31204.16
M1	31255.17
M1	31284.61
M1	31351.02
M1	31383.96
M1	31409.43
M1	31416.21
M1	31479.51
M1	31491.08
M1	31546.68
M1	31562.73
M1	31618.09
M1	31646.16
M1	31669.11
M1	31733.59
M1	31754.2
M1	31773.79
M1	31780.32
M1	31847.11
M1	31851.58
M1	31852.61
M1	31855.36
M1	31855.36
M1	31899.52
M1	31907.46
M1	31910.92
M1	31914.71
M1	31971.73
M1	32082.62
M1	32115.27
M1	32158.73
M1	32170.58
M1	32194.26
M1	32219.68
M1	32329.68
M1	32358.74
M1	32495.93
M1	32503.66
M1	32506.47
M1	32550.1
M1	32608.26
M1	32669.01
M1	32725.63
M1	32738.38
M1	32751.47
M1	32757.85
M1	32774.88
M1	32788.71
M1	32835.92
M1	32838.42
M1	32912.75
M1	32918.1
M1	33038.35
M1	33063.73
M1	33093.79
M1	33121.74
M1	33143.6
M1	33222.22
M1	33227.99
M1	33265.04
M1	33307.89
M1	33331.7
M1	33443.32
M1	33484.23
M1	33488.21
M1	33525.91
M1	33571.29
M1	33585.47
M1	33592.01
M1	33721.27
M1	33743.91
M1	33748.66
M1	33811.16
M1	33838.23
M1	33955.23
M1	33988.31
M1	34007.07
M1	34008.17
M1	34040.21
M1	34045
M1	34053.47
M1	34076.69
M1	34085.15
M1	34137.58
M1	34168.61
M1	34206.34
M1	34207.81
M1	34208.56
M1	34281.55
M1	34347.66
M1	34428.76
M1	34441.06
M1	34582.57
M1	34605.77
M1	34808.56
M1	34813.84
M1	34816.84
M1	34837.96
M1	34863.22
M1	34883.96
M1	34994.73
M1	35066.75
M1	35072.81
M1	35155.26
M1	35182.66
M1	35228.75
M1	35248.57
M1	35249.73
M1	35253.16
M1	35273.38
M1	35383.08
M1	35403.76
M1	35496.19
M1	35540.77
M1	35591.18
M1	35613.91
M1	35630.87
M1	35642.06
M1	35687.58
M1	35698.79
M1	35712.3
M1	35731.63
M1	35732.41
M1	35765.68
M1	35785.02
M1	35863.71
M1	35880.02
M1	35904.48
M1	35925.47
M1	35932.47
M1	35939.07
M1	36009.14
M1	36011.09
M1	36014.96
M1	36017.31
M1	36018.87
M1	36021.61
M1	36070.75
M1	36084.8
M1	36117.21
M1	36192.71
M1	36247.18
M1	36262.1
M1	36320.61
M1	36387.48
M1	36425.28
M1	36471.82
M1	36504.58
M1	36550.44
M1	36610.6
M1	36659.34
M1	36666.48
M1	36696.27
M1	36768.99
M1	36787.68
M1	36790.08
M1	36797.24
M1	36808.8
M1	36862.2
M1	36891.31
M1	36898.5
M1	36908.09
M1	36983.64
M1	36990.85
M1	37005.26
M1	37078.6
M1	37109.91
M1	37126.38
M1	37156.11
M1	37183.46
M1	37183.87
M1	37195.93
M1	37197.54
M1	37208.81
M1	37215.65
M1	37290.64
M1	37300.3
M1	37318.09
M1	37322.11
M1	37366.15
M1	37399.33
M1	37412.69
M1	37443.85
M1	37449.94
M1	37469.39
M1	37486.43
M1	37500.21
M1	37501.83
M1	37506.71
M1	37548.54
M1	37559.92
M1	37578.6
M1	37584.29
M1	37590.4
M1	37610.34
M1	37649.82
M1	37770.2
M1	37806.59
M1	37829.9
M1	37839.32
M1	37840.54
M1	37844.23
M1	37882.73
M1	37883.98
M1	37904.88
