id	dT_4_S4_L001	dT_4_S4_L002	dT_4_S4_L003	dT_4_S4_L004	dT_5_S5_L001	dT_5_S5_L002	dT_5_S5_L003	dT_5_S5_L004	dT_6_S6_L001	dT_6_S6_L002	dT_6_S6_L003	dT_6_S6_L004	rRNA_7_S7_L001	rRNA_7_S7_L002	rRNA_7_S7_L003	rRNA_7_S7_L004	rRNA_8_S8_L001	rRNA_8_S8_L002	rRNA_8_S8_L003	rRNA_8_S8_L004	rRNA_9_S9_L001	rRNA_9_S9_L002	rRNA_9_S9_L003	rRNA_9_S9_L004	Total_1_S1_L001	Total_1_S1_L002	Total_1_S1_L003	Total_1_S1_L004	Total_2_S2_L001	Total_2_S2_L002	Total_2_S2_L003	Total_2_S2_L004	Total_3_S3_L001	Total_3_S3_L002	Total_3_S3_L003	Total_3_S3_L004
LOC108843331	1	0	0	1	0	0	0	0	1	1	0	0	0	0	2	1	4	1	0	0	2	1	1	0	5	0	4	1	0	9	1	1	3	2	5	1
LOC108855211	0	1	3	1	0	0	0	0	2	0	0	2	2	1	1	0	0	0	1	1	3	1	0	0	0	4	2	7	0	3	1	1	4	3	2	2
LOC108857768	0	2	1	1	1	1	0	1	0	1	2	0	0	3	0	0	0	0	0	0	5	0	0	6	0	5	1	0	0	4	4	2	5	1	2	0
LOC108817185	0	0	0	4	0	0	0	0	2	2	3	0	0	2	2	0	3	0	4	1	6	0	3	3	2	0	0	0	0	2	3	2	0	2	0	0
LOC108819898	2	1	0	1	0	0	0	0	0	1	1	0	1	0	1	0	0	3	1	2	2	2	5	7	3	1	0	1	0	0	3	1	1	2	4	0
LOC108822834	0	1	0	0	0	0	0	0	1	0	1	2	0	1	0	0	1	0	1	0	0	0	4	4	0	1	3	8	0	2	3	5	4	2	0	2
LOC108841992	0	1	2	1	2	1	1	1	1	3	0	1	2	1	1	2	0	1	0	1	1	2	0	2	0	3	3	5	0	6	1	0	1	0	0	0
LOC108844015	2	1	2	4	0	0	1	0	3	1	1	2	2	1	0	0	1	5	1	2	0	0	0	0	0	2	3	5	0	1	2	2	0	2	0	0
LOC108845741	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	2	0	0	0	2	3	3	2	0	0	5	4	0	2	6	1	1	2	5	4
LOC108853045	0	0	0	0	0	0	0	0	0	1	0	0	4	2	1	3	0	3	1	2	1	1	2	1	1	0	1	5	0	1	4	2	4	1	2	3
